rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3d,rainfall_7d,max_rainfall_intensity,antecedent_rainfall_index,temperature,humidity,wind_speed,elevation,slope,aspect,plan_curvature,profile_curvature,soil_moisture,vegetation_density,soil_type_code,land_cover_code,geology_strength,previous_landslides,landslide,true_probability
3.3,6.15,8.14,13.06,15.9,38.02,53.72,3.5,28.5,25.5,49.3,23.6,135.4,16.59,70.6,-0.0617,-0.0082,0.479,0.422,8,1,3,0,0,0.1771
0.85,1.31,1.58,2.68,3.17,3.89,4.33,1.18,3.17,9.6,77.0,19.8,4075.1,14.98,358.5,-0.0443,0.0016,0.353,0.643,3,4,2,3,0,0.0465
0.28,0.51,0.7,0.82,0.94,2.14,4.2,0.4,1.92,11.7,79.9,7.8,3504.6,13.84,323.0,-0.0161,0.0098,0.395,0.718,1,0,5,2,0,0.0071
1.01,1.89,2.79,3.1,3.48,5.2,6.21,1.18,4.07,24.6,17.3,15.4,931.2,22.33,105.3,0.0533,-0.0033,0.158,0.606,3,1,3,1,0,0.0195
1.49,2.4,4.23,6.28,7.57,14.37,20.07,1.72,11.26,13.4,64.5,24.4,804.6,12.74,194.8,-0.0383,0.0365,0.368,0.454,5,1,3,2,0,0.0499
3.1,4.69,8.54,14.41,21.38,38.63,48.9,3.82,29.36,27.1,98.8,26.7,811.1,27.8,113.9,0.0228,0.0047,0.483,0.706,0,2,1,4,1,0.8774
2.47,5.31,9.28,10.35,14.57,36.11,68.82,2.9,31.33,22.2,33.8,4.6,1312.6,27.12,279.2,0.0152,0.0101,0.411,0.351,6,2,3,0,0,0.4491
2.26,3.92,4.83,7.26,10.6,21.01,29.45,3.13,16.32,26.2,76.8,12.2,2227.7,23.4,334.9,0.0793,-0.0191,0.44,0.509,6,2,1,0,0,0.3252
1.02,1.83,3.15,5.27,8.36,16.87,22.72,1.5,12.82,17.1,74.5,10.1,1842.6,10.24,129.2,-0.0021,-0.0526,0.405,0.792,0,2,3,0,0,0.0132
3.59,9.96,16.44,19.39,25.47,61.51,92.74,3.76,47.48,10.5,55.5,7.0,1258.6,21.79,290.0,-0.0877,0.0077,0.508,0.694,6,2,4,0,0,0.3554
3.16,5.35,10.56,14.29,22.33,31.45,62.75,3.38,31.36,11.1,72.8,1.4,2589.2,32.25,179.4,0.0323,0.0604,0.408,0.563,7,0,2,0,0,0.6702
2.15,3.36,7.09,8.3,9.45,17.4,27.31,2.55,14.48,25.1,52.2,10.5,628.9,28.84,142.8,0.1069,0.0222,0.344,0.873,0,3,2,0,0,0.0828
2.37,6.09,11.34,12.78,19.1,25.96,29.26,2.9,20.49,14.2,42.4,16.4,1262.4,26.76,337.8,0.0356,-0.0409,0.436,0.842,1,4,2,0,0,0.1721
3.54,6.56,12.54,18.14,25.59,34.36,57.23,3.99,31.85,18.7,100.0,8.2,1570.4,19.21,183.7,-0.0394,0.0407,0.552,0.81,2,2,4,0,0,0.1348
0.63,1.36,2.16,3.38,4.79,10.19,16.24,0.91,8.28,10.4,57.4,21.3,1942.7,18.74,168.3,-0.0541,-0.0168,0.35,0.72,1,3,3,0,1,0.0176
4.63,11.95,21.41,37.38,41.15,81.56,95.41,6.33,58.64,22.5,56.3,29.8,3308.5,34.95,242.1,-0.0476,0.0357,0.53,0.972,4,2,3,0,1,0.8701
0.21,0.46,0.8,1.05,1.26,1.7,3.17,0.3,1.66,7.0,63.6,9.9,878.6,22.14,94.0,0.1002,-0.0184,0.363,0.676,2,0,3,2,0,0.0301
3.16,8.41,18.27,23.43,36.95,69.37,81.8,3.72,50.73,26.9,66.2,12.5,2184.1,22.29,116.9,-0.0164,0.0177,0.565,0.827,7,2,4,2,0,0.5951
0.39,0.91,1.77,2.71,3.87,9.4,10.86,0.56,6.42,8.9,86.1,12.6,2508.5,66.21,335.5,-0.0331,-0.0259,0.406,0.617,8,0,1,2,1,0.9999
1.22,2.81,4.14,7.31,11.38,15.71,27.77,1.78,14.85,10.9,75.5,38.2,242.8,15.92,244.3,-0.0079,-0.0247,0.406,0.614,1,3,4,0,0,0.0246
1.28,3.18,6.65,8.18,9.57,13.55,20.74,1.87,11.92,17.1,58.4,38.6,2571.3,4.28,297.6,-0.0158,-0.0783,0.353,0.497,2,2,4,1,0,0.0135
4.13,7.37,12.8,15.14,20.77,43.0,49.42,4.14,30.37,33.7,79.2,20.7,757.7,17.24,97.6,0.0784,0.0256,0.462,0.454,2,0,2,0,0,0.308
44.66,76.97,104.57,176.76,216.86,324.3,514.08,55.23,285.5,14.9,85.0,13.8,320.0,17.8,195.8,-0.0507,0.0185,0.95,0.852,2,2,2,2,1,1.0
0.82,2.13,4.33,5.16,8.18,17.86,25.97,1.11,13.82,15.0,49.4,16.3,3987.9,21.96,349.7,0.059,0.0213,0.38,0.57,2,5,5,2,0,0.041
3.76,10.05,17.36,24.39,36.17,86.7,152.89,5.23,72.56,15.8,96.5,33.0,4057.4,24.68,114.7,0.0061,0.0138,0.82,0.637,0,1,4,0,1,0.9634
0.78,1.33,1.7,2.8,4.43,5.36,6.12,0.86,4.42,29.6,88.9,23.6,3404.8,4.86,57.8,0.0604,-0.0381,0.445,0.714,0,7,5,1,0,0.0038
4.02,8.81,14.01,19.09,21.31,34.48,48.88,5.23,28.3,30.7,77.4,14.4,1314.1,24.94,183.9,0.0791,0.0483,0.52,0.758,0,7,3,1,0,0.341
0.88,1.52,2.56,3.98,4.83,9.45,14.55,1.09,7.69,23.7,73.8,13.5,455.3,18.39,139.6,0.0042,0.0496,0.393,0.795,6,4,1,1,0,0.0561
0.11,0.17,0.25,0.41,0.64,1.19,1.9,0.15,1.0,23.8,56.7,5.8,2889.6,16.33,57.4,-0.0158,-0.0394,0.386,0.546,1,4,1,0,0,0.0317
28.67,61.65,92.07,136.06,160.47,306.38,531.6,39.26,265.66,14.2,80.0,8.3,1876.6,6.55,319.9,0.0033,0.0266,0.95,0.868,0,2,4,1,1,1.0
36.9,84.2,112.0,138.89,199.48,418.42,600.29,45.34,324.5,11.4,78.6,21.9,556.5,38.68,356.7,-0.0047,0.0437,0.95,0.172,3,2,3,0,1,1.0
1.52,3.2,6.12,7.7,12.02,27.04,35.04,1.54,19.73,26.9,69.0,35.1,2105.0,14.86,204.7,-0.0828,-0.0235,0.429,0.705,0,7,1,0,0,0.0909
1.5,3.78,4.73,8.47,9.36,14.65,21.62,1.97,12.34,23.1,39.9,11.8,192.7,26.95,278.9,0.0776,-0.0148,0.293,0.309,0,1,1,1,0,0.3898
0.24,0.43,0.63,1.05,1.44,3.13,4.24,0.35,2.35,18.6,73.2,30.6,3823.7,11.64,309.3,0.0123,0.0267,0.348,0.253,3,0,2,0,0,0.0227
0.4,1.08,1.52,2.01,2.83,3.68,6.4,0.56,3.51,16.7,47.5,36.4,1123.9,22.47,252.4,-0.0582,-0.0755,0.297,0.479,2,0,1,1,0,0.091
6.4,14.29,23.56,28.86,42.93,90.7,103.68,7.12,63.62,17.4,100.0,12.1,2799.5,16.48,15.9,-0.1034,-0.0544,0.672,0.384,0,3,4,3,0,0.9333
0.11,0.24,0.48,0.62,0.92,2.1,4.1,0.15,1.87,22.1,62.9,16.5,1343.6,26.52,56.7,-0.1164,-0.0495,0.316,0.818,2,1,4,1,0,0.0124
1.26,2.64,3.95,6.62,9.1,21.96,41.63,1.53,19.08,30.0,60.3,12.3,2208.3,16.17,25.6,0.0385,-0.0898,0.391,0.565,2,0,4,0,0,0.0323
0.15,0.27,0.55,0.83,1.29,2.62,3.65,0.17,2.02,17.6,60.0,20.3,2318.8,11.33,3.6,-0.0309,0.0542,0.412,0.389,2,4,1,1,0,0.0416
0.76,1.42,2.94,4.66,5.74,9.23,11.03,0.92,7.07,6.1,49.7,12.4,817.1,18.85,110.2,-0.0227,-0.0994,0.35,0.403,3,2,1,0,0,0.0887
3.13,6.95,11.18,17.43,22.77,46.67,78.99,4.18,39.38,23.1,69.8,16.7,4073.8,18.34,141.2,0.0244,0.0172,0.537,0.625,1,2,1,2,1,0.7752
0.12,0.3,0.6,1.02,1.47,2.1,4.1,0.16,2.06,25.8,65.9,11.4,3266.8,21.69,86.8,-0.0258,0.0406,0.323,0.364,2,0,2,0,0,0.0441
1.58,2.66,3.98,7.13,10.72,22.58,43.74,1.63,20.33,34.0,43.5,18.8,3948.9,30.66,23.3,0.0273,-0.0147,0.341,0.852,4,0,1,1,1,0.2878
0.84,1.83,2.67,4.11,5.22,12.2,14.46,1.15,8.49,20.6,56.0,10.9,3763.5,9.85,190.8,0.0048,-0.0334,0.267,0.901,6,0,5,1,0,0.0045
2.95,4.54,9.39,14.3,18.2,44.4,65.77,4.24,33.91,14.0,42.7,20.2,2531.3,29.87,98.4,-0.0042,0.0116,0.401,0.49,5,2,4,2,1,0.5112
2.04,3.54,6.64,7.82,10.43,15.02,24.52,2.74,13.53,13.6,62.8,4.8,3875.8,8.94,286.6,-0.0786,0.0001,0.371,0.333,2,4,1,0,0,0.0715
5.37,13.67,19.73,34.43,42.84,85.81,158.61,6.41,76.1,19.1,79.5,14.9,417.2,25.99,2.9,-0.041,0.0502,0.732,0.493,2,3,1,2,1,0.9997
7.15,13.3,16.3,18.64,23.64,58.53,89.06,10.19,45.17,11.0,85.5,27.2,863.3,26.41,303.3,0.0301,-0.1314,0.629,0.79,2,1,2,2,1,0.9249
1.52,2.84,5.53,8.71,12.32,24.83,37.88,1.87,19.99,19.4,48.2,17.8,237.7,14.42,343.7,-0.0341,-0.0459,0.27,0.788,5,5,4,2,0,0.0362
0.28,0.62,0.94,1.52,1.83,4.45,7.18,0.37,3.55,25.6,64.6,14.1,1400.1,12.0,257.8,0.0603,0.0281,0.352,0.939,4,0,3,0,0,0.0048
2.43,4.81,6.24,8.32,11.29,19.99,39.14,2.65,18.74,31.8,31.7,23.3,1663.0,11.63,264.1,0.1173,0.0025,0.441,0.499,1,0,3,1,0,0.0656
0.42,1.09,1.62,1.89,3.0,6.68,8.97,0.42,4.96,18.8,60.6,44.7,1176.1,19.82,336.1,0.0328,0.0376,0.297,0.788,0,4,5,0,0,0.0049
24.02,50.2,82.01,114.59,178.46,233.77,393.09,31.61,219.18,6.8,91.6,6.7,3489.3,27.3,75.3,0.0746,0.0131,0.95,0.865,2,0,1,1,1,1.0
0.47,1.22,1.73,2.19,2.84,4.18,8.22,0.51,4.09,18.9,65.9,32.1,1530.5,17.53,358.0,0.036,-0.0067,0.348,0.743,1,3,1,1,0,0.038
0.37,0.56,0.7,1.06,1.31,1.77,2.67,0.38,1.57,7.7,70.8,24.3,1215.9,3.94,278.5,-0.0267,-0.0151,0.37,0.411,7,0,1,0,0,0.0112
4.26,10.87,16.67,18.74,29.9,38.08,52.98,4.66,33.23,22.2,49.5,18.5,2302.2,13.89,261.6,0.01,0.1163,0.392,0.616,1,0,1,1,1,0.4085
1.52,2.33,3.97,4.5,5.44,9.67,13.17,2.08,7.62,27.3,81.0,17.7,634.8,13.61,130.0,0.1007,0.0767,0.385,0.342,0,3,3,2,0,0.0543
10.34,27.2,54.27,81.46,122.97,284.01,479.3,11.7,233.87,25.3,83.2,17.5,3379.1,24.59,196.5,-0.0262,0.0248,0.95,0.272,5,0,2,1,1,1.0
0.07,0.2,0.41,0.48,0.77,1.2,1.82,0.1,1.02,10.5,46.2,12.0,359.4,25.25,235.4,-0.052,0.0039,0.36,0.695,0,0,2,0,0,0.0291
0.5,1.32,1.79,2.42,3.87,5.83,10.83,0.67,5.52,9.3,47.9,26.8,4145.6,20.63,223.3,-0.0567,0.0269,0.299,0.542,1,2,3,2,0,0.0415
0.2,0.53,0.88,1.5,1.98,4.33,5.77,0.22,3.22,13.0,67.8,10.0,3254.8,29.9,253.8,-0.0109,0.0413,0.389,0.859,2,1,3,0,0,0.0233
0.26,0.58,1.2,1.34,1.75,2.7,5.4,0.34,2.64,17.7,63.6,24.4,874.7,31.04,29.7,-0.0502,0.0209,0.391,0.542,2,4,2,3,0,0.2535
14.5,39.6,49.53,59.66,85.67,170.64,324.92,16.46,153.87,2.6,83.0,16.0,72.9,14.36,128.0,0.0837,-0.0376,0.95,0.684,1,4,2,2,1,1.0
0.22,0.36,0.61,1.06,1.38,1.94,2.76,0.29,1.66,18.6,53.4,6.4,3434.2,11.47,156.2,0.0108,0.0892,0.301,0.617,2,3,2,1,0,0.0138
3.45,5.67,9.66,13.19,16.06,27.72,51.89,3.85,25.52,12.9,67.1,5.6,2983.5,18.2,93.8,0.0486,0.0123,0.532,0.604,0,1,4,1,0,0.137
20.05,37.27,75.64,102.62,128.5,245.34,490.49,24.68,228.93,14.2,91.9,10.4,3075.4,20.61,62.1,-0.0149,0.1007,0.95,0.513,2,2,2,0,1,1.0
2.94,6.5,11.04,16.41,18.75,46.81,93.44,3.35,41.63,10.7,77.1,12.4,3250.8,13.95,50.0,-0.057,0.0094,0.537,0.49,2,3,1,2,1,0.7336
0.98,1.68,2.19,3.08,3.75,8.66,11.99,1.46,6.48,4.0,45.7,6.5,357.3,74.42,131.9,-0.0655,-0.0123,0.264,0.777,4,0,3,3,1,0.9872
0.26,0.67,1.27,2.09,2.49,3.04,4.76,0.34,2.82,20.9,52.2,8.7,1537.6,37.54,177.6,-0.0454,0.0692,0.233,0.752,2,1,1,1,1,0.1246
0.15,0.28,0.5,0.65,0.87,1.76,2.74,0.16,1.43,28.7,92.5,7.4,530.9,13.22,22.7,0.0174,0.0151,0.325,0.562,2,4,2,2,0,0.0249
85.63,230.27,383.87,462.89,735.71,1499.36,2589.83,126.28,1279.8,12.9,89.2,13.1,3631.9,10.1,340.7,0.026,0.0067,0.95,0.371,2,2,2,1,1,1.0
3.31,6.2,9.22,13.72,19.74,37.82,44.09,4.45,27.39,18.3,44.5,24.1,2636.7,12.61,275.5,0.0302,-0.06,0.387,0.686,0,3,1,1,0,0.2036
0.66,1.11,1.41,2.02,2.42,2.99,5.49,0.84,2.97,20.4,61.6,10.6,1423.2,31.32,263.1,-0.0744,0.033,0.288,0.541,0,0,5,3,0,0.0426
9.04,22.3,47.23,63.84,99.21,155.12,197.78,10.53,122.95,17.8,81.6,2.4,313.8,31.71,62.2,-0.0,-0.0247,0.889,0.832,4,4,3,1,1,1.0
4.0,6.27,12.8,17.47,20.59,30.14,45.7,4.85,26.17,26.6,85.9,5.4,1340.6,37.77,217.4,-0.0513,-0.0224,0.498,0.204,1,0,1,0,1,0.9977
1.04,2.61,5.58,9.69,13.21,16.45,26.93,1.38,15.47,22.0,76.0,4.2,1399.5,11.27,190.7,0.0201,-0.0245,0.357,0.789,3,5,3,1,0,0.0257
19.83,53.85,115.27,190.82,270.85,636.7,972.34,21.94,497.06,33.0,97.8,11.5,3077.9,24.54,353.7,0.024,0.022,0.95,0.402,0,0,2,0,1,1.0
0.53,0.96,1.32,1.63,2.09,4.11,4.78,0.65,2.95,19.4,88.7,3.1,2695.9,11.89,269.2,-0.0586,-0.0768,0.418,0.758,4,5,2,1,0,0.015
0.94,2.39,3.64,5.13,7.69,11.83,16.96,1.25,9.89,21.4,61.8,5.6,3731.9,41.89,207.3,0.0484,-0.0105,0.35,0.681,8,1,2,3,1,0.5569
3.67,9.89,16.6,27.01,31.53,74.06,111.16,4.66,57.34,17.2,90.5,18.3,2009.7,11.5,306.3,0.1169,0.049,0.738,0.545,2,3,3,1,1,0.706
2.6,4.99,8.02,11.74,16.0,36.89,56.83,3.77,29.03,24.7,74.1,2.5,546.3,8.73,55.8,0.0417,-0.0623,0.426,0.644,2,4,1,2,0,0.2242
0.72,1.82,3.93,6.89,8.75,13.1,25.91,0.83,12.81,21.0,44.4,4.2,3010.0,9.75,5.5,-0.0081,0.0086,0.383,0.63,2,0,3,0,0,0.0163
27.27,44.44,66.42,106.14,117.33,176.44,261.04,39.78,150.43,17.6,95.5,12.9,3207.3,18.9,248.5,-0.0158,-0.0316,0.95,0.318,5,1,4,0,1,1.0
8.09,21.25,28.07,33.63,44.89,64.41,106.27,10.88,58.38,19.0,97.6,16.9,2379.3,27.1,35.4,-0.0105,-0.0202,0.572,0.225,0,6,2,0,1,0.9957
0.13,0.27,0.45,0.62,0.81,1.17,1.41,0.15,0.93,26.6,35.6,19.3,3249.5,26.2,41.6,-0.038,0.0828,0.296,0.912,3,1,3,0,0,0.0097
17.94,32.69,55.86,94.97,113.01,243.23,316.72,19.26,179.54,7.0,82.5,5.5,2099.3,10.01,268.1,0.0126,-0.0825,0.95,0.307,3,3,5,1,1,1.0
6.76,14.77,23.77,32.82,42.34,64.0,74.06,7.76,49.33,10.8,77.1,4.5,2219.3,15.29,97.4,-0.0569,0.0383,0.575,0.916,2,0,4,2,0,0.5002
0.49,0.9,1.79,2.6,3.08,7.03,10.74,0.55,5.52,17.4,61.5,10.8,1824.3,14.18,226.3,-0.0945,-0.0239,0.294,0.771,1,3,3,1,0,0.0115
20.24,51.34,86.97,145.29,191.85,471.54,731.69,29.45,367.96,25.2,82.4,3.7,155.5,9.15,330.3,0.011,-0.0264,0.95,0.528,1,0,3,0,1,1.0
1.2,2.31,3.47,3.87,5.07,6.45,12.45,1.51,6.5,11.1,84.4,20.4,497.7,13.99,113.9,0.0011,-0.0556,0.374,0.775,4,3,3,1,0,0.0158
0.39,0.63,1.05,1.22,1.71,3.23,5.56,0.52,2.8,17.4,64.1,12.8,180.4,36.95,78.2,-0.0286,0.0377,0.374,0.711,0,1,5,1,0,0.0299
0.91,1.41,2.97,3.82,4.72,5.88,7.65,0.95,5.04,13.3,50.5,16.8,2691.1,8.4,38.4,-0.0641,-0.0096,0.222,0.301,2,2,1,1,0,0.035
0.04,0.07,0.15,0.25,0.29,0.48,0.56,0.06,0.36,34.6,42.3,2.0,1354.6,21.35,47.0,0.0145,-0.0159,0.26,0.382,1,0,3,0,0,0.0175
0.57,1.25,2.32,3.0,4.37,10.56,12.7,0.82,7.34,20.4,41.6,5.1,2160.6,37.38,22.4,-0.0495,0.0055,0.243,0.629,1,3,1,1,0,0.2386
1.86,4.33,8.02,11.14,16.64,27.88,32.23,2.33,20.85,15.4,85.4,15.1,3816.4,36.41,31.6,-0.0069,-0.0085,0.54,0.363,2,1,1,0,1,0.9838
4.39,9.47,17.07,22.89,25.76,53.99,106.3,6.47,49.09,22.4,89.8,10.6,1084.6,42.87,155.5,0.0882,-0.1,0.636,0.549,5,1,3,0,1,0.9958
2.6,6.26,8.95,14.86,20.22,38.38,66.61,3.29,33.33,19.0,29.2,5.4,1753.1,22.45,115.5,0.0326,-0.0245,0.477,0.81,3,3,4,1,0,0.181
0.92,2.2,4.0,6.1,8.17,16.05,18.78,1.32,11.57,34.3,68.6,22.7,3185.5,24.19,254.4,-0.0685,0.0448,0.446,0.612,4,0,1,0,0,0.1882
1.91,4.28,7.71,9.65,12.73,31.74,39.43,2.5,22.25,18.8,83.2,24.3,999.5,14.14,313.3,-0.0637,-0.0753,0.481,0.612,3,5,2,1,0,0.1242
17.84,42.56,75.29,129.37,143.78,325.91,567.51,20.54,273.68,20.9,76.8,8.4,369.5,8.28,282.5,0.0076,-0.0545,0.95,0.688,3,3,1,0,1,1.0
0.67,1.76,3.53,3.91,5.36,12.85,16.76,0.92,9.28,3.0,68.9,9.8,1252.5,17.51,191.0,-0.0688,-0.0213,0.451,0.574,2,2,4,1,0,0.0254
0.45,0.69,0.86,1.2,1.7,3.52,5.6,0.51,2.87,12.9,62.4,15.9,719.1,33.28,36.9,-0.1001,-0.0363,0.296,0.592,6,0,2,2,0,0.1381
0.93,2.4,3.98,6.59,9.96,17.17,21.2,1.08,13.08,16.0,69.9,5.1,3908.2,3.89,255.5,0.0266,-0.0014,0.469,0.802,2,3,2,0,0,0.0117
2.67,5.23,6.56,9.33,13.88,23.5,44.54,3.7,21.87,16.4,85.1,7.6,3403.7,14.5,130.6,0.016,-0.0547,0.467,0.496,2,0,4,0,0,0.0593
27.9,52.93,105.65,137.01,165.49,407.12,652.01,35.88,322.7,13.7,88.2,22.1,2678.6,25.41,30.8,0.0225,-0.0194,0.95,0.376,2,4,3,2,1,1.0
0.28,0.75,1.07,1.86,2.92,4.63,6.35,0.37,3.76,21.7,60.3,22.6,3666.6,19.03,303.3,0.0132,-0.0024,0.285,0.728,1,1,5,2,0,0.0096
3.89,8.91,13.95,21.87,24.94,35.95,68.93,4.74,34.95,12.9,41.7,15.6,3385.2,35.39,121.8,-0.0033,0.0324,0.439,0.864,1,0,5,2,1,0.41
39.87,62.85,96.03,142.05,195.36,267.41,420.19,45.26,240.28,13.2,90.4,4.6,824.3,31.54,78.6,-0.0331,0.0622,0.95,0.371,0,0,2,1,1,1.0
0.38,0.66,1.41,2.46,2.99,5.69,9.05,0.5,4.73,17.5,59.4,4.6,3754.1,7.63,313.7,0.0258,-0.0131,0.281,0.7,3,7,3,1,0,0.0079
4.2,11.4,17.55,30.47,43.91,93.04,135.55,6.27,72.52,22.6,53.9,9.5,2288.3,19.9,324.8,0.0765,0.0944,0.627,0.752,1,4,3,2,1,0.9462
0.87,1.77,2.22,2.98,4.49,8.25,10.0,0.94,6.13,10.1,93.1,20.3,3400.9,12.24,122.0,-0.0251,-0.0092,0.441,0.648,2,0,3,0,0,0.0122
0.29,0.53,0.66,0.88,1.33,3.16,4.09,0.31,2.28,21.6,73.7,7.9,3768.8,12.15,127.7,-0.051,0.0414,0.317,0.722,6,7,3,0,0,0.0061
2.6,4.57,6.47,8.45,10.42,22.51,34.35,3.06,17.86,21.2,44.1,11.6,1369.7,8.02,208.7,-0.0568,0.0966,0.413,0.441,2,0,1,0,0,0.0734
1.04,2.31,2.98,3.87,5.05,7.2,12.52,1.38,6.7,21.4,77.1,5.2,506.7,21.68,264.0,-0.0433,0.007,0.338,0.921,0,3,4,0,0,0.0091
0.33,0.91,1.81,2.17,2.78,6.78,8.71,0.45,4.85,12.0,72.4,9.4,995.9,35.77,22.7,0.0101,-0.0687,0.366,0.844,4,3,1,0,0,0.1357
1.71,2.86,5.37,8.31,9.52,19.54,24.23,2.11,14.28,14.8,69.5,17.0,1822.5,22.71,213.6,-0.107,0.0045,0.5,0.545,1,4,2,2,0,0.2874
11.32,20.49,40.49,53.03,79.53,113.3,177.7,11.4,100.59,17.4,90.0,22.9,3444.8,7.69,343.0,0.022,-0.0306,0.847,0.863,2,1,2,2,1,0.9947
0.13,0.28,0.49,0.69,0.88,1.56,1.9,0.16,1.18,18.8,60.9,14.2,3622.0,18.46,94.4,0.0322,-0.0137,0.355,0.859,2,2,3,1,0,0.0103
0.85,1.52,2.55,3.65,4.78,8.59,12.82,1.24,7.03,17.1,45.7,15.8,78.9,24.89,327.2,-0.0899,0.0992,0.209,0.266,1,3,5,2,0,0.0377
1.08,3.02,4.72,7.41,10.67,21.55,34.55,1.32,17.76,20.2,48.5,12.5,2169.6,17.71,342.1,-0.049,-0.0611,0.462,0.414,0,1,2,1,1,0.1855
1.62,3.3,6.64,11.14,15.75,38.44,59.19,1.69,29.92,18.6,68.7,10.6,1782.3,22.49,96.9,0.004,0.015,0.548,0.867,1,0,3,0,0,0.143
0.39,0.81,0.97,1.72,2.62,4.47,8.53,0.42,4.17,9.5,71.9,15.5,971.7,12.82,271.5,-0.0072,-0.0439,0.431,0.505,0,3,1,2,0,0.0678
0.31,0.55,0.94,1.32,1.74,3.42,3.97,0.4,2.46,19.2,60.5,24.4,547.4,16.59,86.0,0.026,-0.0154,0.318,0.622,1,3,2,0,0,0.016
2.03,5.15,8.1,13.76,21.25,36.24,69.3,2.45,33.82,13.8,55.7,14.3,1451.1,16.03,265.5,-0.0071,0.0372,0.412,0.59,8,2,5,2,0,0.1425
0.9,1.9,2.57,3.79,6.04,14.34,23.84,0.91,11.66,25.4,81.6,40.1,3963.1,39.12,287.1,0.0632,0.0159,0.468,0.909,2,1,5,0,0,0.0462
0.42,0.99,1.9,3.32,4.24,10.37,12.87,0.6,7.29,14.4,85.5,3.0,1391.3,10.14,89.0,-0.0161,-0.0113,0.37,0.206,5,1,3,0,0,0.021
0.09,0.15,0.22,0.36,0.43,0.93,1.11,0.11,0.66,8.8,59.6,14.1,2203.0,4.3,257.7,-0.0492,-0.0325,0.316,0.511,2,3,4,1,0,0.0044
40.31,67.25,108.79,171.89,203.5,313.2,578.88,56.14,294.24,13.3,91.5,21.5,2967.5,37.85,292.4,-0.0532,0.0158,0.95,0.268,3,3,1,0,1,1.0
1.72,3.83,5.71,7.95,10.28,20.61,23.15,2.43,14.54,23.6,95.0,3.1,1559.1,20.26,129.1,0.0368,0.0854,0.469,0.595,0,4,3,0,0,0.0633
17.14,29.68,53.71,70.5,92.12,140.82,228.4,18.59,124.55,31.4,89.7,14.0,4082.9,8.86,60.4,0.0015,-0.0451,0.883,0.757,1,4,3,1,1,0.9994
0.11,0.23,0.28,0.46,0.73,1.41,2.67,0.15,1.28,20.5,53.2,18.6,4044.2,30.13,33.1,0.0317,0.0956,0.319,0.475,2,4,2,0,0,0.0721
1.0,2.81,5.21,7.85,11.99,20.46,39.65,1.18,19.22,24.8,19.0,9.5,1094.9,25.69,207.1,0.0307,0.06,0.367,0.916,5,1,5,3,0,0.0599
18.43,38.23,61.67,71.21,113.02,247.88,410.63,20.12,204.19,8.4,84.6,5.7,2113.6,42.36,352.1,-0.101,0.0685,0.95,0.966,0,0,4,0,1,1.0
1.69,2.58,4.94,6.94,9.64,22.8,44.89,2.0,20.3,18.4,96.7,46.3,1298.6,21.13,296.3,-0.057,0.0154,0.453,0.388,2,4,4,0,0,0.092
